s_city,s_Volume,s_city_id,s_lat,s_lon,e_City,e_city_id,e_lat,e_lon,e_vol
Abu Nasr Farahi,1,x_1,32.165039,60.873467,Kabul,AF01,34.554066,69.332594,125
Abu Nasr Farahi,2,x_1,32.165039,60.873467,Parwan,AF03,34.958537,68.886329,14
Abu Nasr Farahi,3,x_1,32.165039,60.873467,Wardak,AF04,34.292078,68.20295,7
Abu Nasr Farahi,4,x_1,32.165039,60.873467,Panjsher,AF08,35.44593,69.794822,7
Abu Nasr Farahi,5,x_1,32.165039,60.873467,Baghlan,AF09,35.773178,68.938185,20
Abu Nasr Farahi,6,x_1,32.165039,60.873467,Ghazni,AF11,33.298822,67.811789,13
Abu Nasr Farahi,7,x_1,32.165039,60.873467,Paktika,AF12,32.481676,68.751118,13
Abu Nasr Farahi,8,x_1,32.165039,60.873467,Badakhshan,AF17,37.038272,71.457808,7
Abu Nasr Farahi,9,x_1,32.165039,60.873467,Kunduz,AF19,36.846189,68.741738,13
Abu Nasr Farahi,10,x_1,32.165039,60.873467,Balkh,AF21,36.671789,67.067123,14
Abu Nasr Farahi,11,x_1,32.165039,60.873467,Ghor,AF23,34.223853,64.928959,20
Abu Nasr Farahi,12,x_1,32.165039,60.873467,Daykundi,AF24,33.764021,66.184738,14
Abu Nasr Farahi,13,x_1,32.165039,60.873467,Zabul,AF26,32.193437,67.159692,13
Abu Nasr Farahi,14,x_1,32.165039,60.873467,Kandahar,AF27,31.052452,65.712547,55
Abu Nasr Farahi,15,x_1,32.165039,60.873467,Faryab,AF29,36.054515,64.859923,22
Abu Nasr Farahi,16,x_1,32.165039,60.873467,Helmand,AF30,31.185119,64.052756,140
Abu Nasr Farahi,17,x_1,32.165039,60.873467,Badghis,AF31,35.139966,63.677186,55
Abu Nasr Farahi,18,x_1,32.165039,60.873467,Herat,AF32,34.059812,61.988025,883
Abu Nasr Farahi,19,x_1,32.165039,60.873467,Farah,AF33,32.497557,62.462352,41464
Angor ada,20,x_2,32.519404,69.272673,Kabul,AF01,34.554066,69.332594,621
Angor ada,21,x_2,32.519404,69.272673,Parwan,AF03,34.958537,68.886329,21
Angor ada,22,x_2,32.519404,69.272673,Wardak,AF04,34.292078,68.20295,27
Angor ada,23,x_2,32.519404,69.272673,Logar,AF05,34.013175,69.171596,49
Angor ada,24,x_2,32.519404,69.272673,Nangarhar,AF06,34.272868,70.472553,111
Angor ada,25,x_2,32.519404,69.272673,Baghlan,AF09,35.773178,68.938185,52
Angor ada,26,x_2,32.519404,69.272673,Bamyan,AF10,34.798638,67.233704,3
Angor ada,27,x_2,32.519404,69.272673,Ghazni,AF11,33.298822,67.811789,982
Angor ada,28,x_2,32.519404,69.272673,Paktika,AF12,32.481676,68.751118,31933
Angor ada,29,x_2,32.519404,69.272673,Paktya,AF13,33.629195,69.401912,978
Angor ada,30,x_2,32.519404,69.272673,Khost,AF14,33.366603,69.830734,559
Angor ada,31,x_2,32.519404,69.272673,Badakhshan,AF17,37.038272,71.457808,4
Angor ada,32,x_2,32.519404,69.272673,Takhar,AF18,36.702307,69.776281,7
Angor ada,33,x_2,32.519404,69.272673,Kunduz,AF19,36.846189,68.741738,73
